location,neighborhood,category,kennedy_stewart,ken_sim,colleen_hardwick,score,avg_score_neighborhood,stdev_neighborhood
carnegie_community,Downtown,1,632,446,88,0.70,0.59,0.04754
roundhouse_community,Downtown,1,1418,4061,383,0.56,0.59,0.04754
coal_harbour_comm,Downtown,1,349,746,98,0.56,0.59,0.04754
crosstown_elementary,Downtown,1,218,371,42,0.61,0.59,0.04754
gathering_place,Downtown,1,202,333,34,0.62,0.59,0.04754
king_george,Downtown,1,712,610,198,0.60,0.59,0.04754
lord_roberts_elementary,Downtown,1,423,276,75,0.68,0.59,0.04754
vancouver_aquatic,Downtown,1,450,577,117,0.59,0.59,0.04754
vpl_central,Downtown,1,397,510,55,0.65,0.59,0.04754
false_creek_community,Fairview,1,278,237,154,0.48,0.52,0.05357
false_creek_elementary,Fairview,1,370,295,185,0.50,0.52,0.05357
holy_trinity,Fairview,1,642,574,267,0.54,0.52,0.05357
ecole_bilingue,Fairview,1,560,383,163,0.61,0.52,0.05357
seaforth,Fairview,1,541,540,299,0.48,0.52,0.05357
raycam_coop,Strathcona,1,464,484,60,0.67,0.70,0.04115
strathcona_community,Strathcona,1,416,305,35,0.73,0.70,0.04115
west_end,WestEnd,1,1418,1881,448,0.57,0.59,0.04280
gordon_neighborhood,WestEnd,1,425,316,104,0.63,0.59,0.04280
lord_roberts_annex,WestEnd,1,517,472,93,0.65,0.59,0.04280
brittania_community,GrandviewWoodland,2,2075,697,338,0.72,0.71,0.02937
grandview_elementary,GrandviewWoodland,2,528,146,80,0.74,0.71,0.02937
queen_victoria,GrandviewWoodland,2,527,319,95,0.68,0.71,0.02937
templeton,GrandviewWoodland,2,974,624,148,0.69,0.71,0.02937
kits_war_memorial,Kitsilano,2,1679,3159,1626,0.38,0.42,0.04670
general_gordon,Kitsilano,2,478,489,313,0.44,0.42,0.04670
kits_neighborhood_house,Kitsilano,2,469,353,232,0.50,0.42,0.04670
lord_tennyson,Kitsilano,2,477,500,266,0.48,0.42,0.04670
redemption_church,Kitsilano,2,443,366,279,0.45,0.42,0.04670
marpole_oakridge,Marpole,2,593,2918,248,0.51,0.52,0.05130
scottish_cultural,Marpole,2,359,498,125,0.56,0.52,0.05130
trinity_baptist,Marpole,2,73,453,36,0.50,0.52,0.05130
westside_baptist,Marpole,2,106,182,18,0.61,0.52,0.05130
creekside_community,MountPleasant,2,1392,2140,383,0.58,0.65,0.06825
mount_pleasant_comm,MountPleasant,2,2602,1380,367,0.71,0.65,0.06825
city_hall,MountPleasant,2,1581,1541,447,0.60,0.65,0.06825
kivan_club,MountPleasant,2,416,180,50,0.74,0.65,0.06825
mount_pleasant_house,MountPleasant,2,485,266,66,0.72,0.65,0.06825
simon_fraser_elementary,MountPleasant,2,607,533,102,0.66,0.65,0.06825
jewish_community,Oakridge,2,105,545,55,0.50,0.52,0.02626
van_horne,Oakridge,2,182,681,60,0.53,0.52,0.02626
hillcrest_centre,RileyPark,2,1090,1947,311,0.57,0.59,0.03334
general_brock,RileyPark,2,382,442,102,0.60,0.59,0.03334
charles_tupper,RileyPark,2,549,675,95,0.64,0.59,0.03334
douglas_park,SouthCambie,2,1329,2025,476,0.55,0.55,0.00000
carnarvon_community,ArbutusRidge,3,185,562,166,0.42,0.45,0.03724
prince_of_wales,ArbutusRidge,3,168,656,110,0.47,0.45,0.03724
kerrisdale_community,Kerrisdale,3,950,5379,844,0.45,0.45,0.02898
mckechnie,Kerrisdale,3,120,576,70,0.49,0.45,0.02898
kerrisdale_elementary,Kerrisdale,3,135,603,128,0.43,0.45,0.02898
