Address|ProjectDescription|PermitNumber
7627 YUKON STREET, Vancouver, BC V5X 2Y4|"Certified Professional Program - New Building - To construct a 4 storey multiple dwelling building (SE building) containing 8 units.  (3 single storey units on first level and 5 three storey units above).

Refer to BP-2018-03263 for site work, below grade facilities and common underground parking.

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring (issued Feb. 4, 2019)
Stage 2 - Full Structure (issued Mar. 18, 2019)
Stage 3 - Full Construction (issued Sept. 19, 2019)"|BP-2019-00103
7597 YUKON STREET, Vancouver, BC V5X 2Y4|"Certified Professional Program - New Building - To construct a 4 storey multiple dwelling building (NW building) containing 8 units.  (3 single storey units on first level and 5 three storey units above).

Refer to BP-2018-03263 for site work, below grade facilities and common underground parking.

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring (issued Feb. 4, 2019)
Stage 2 - Full Structure (issued Mar. 18, 2019)
Stage 3 - Full Construction (issued Sept. 19, 2019)"|BP-2019-00104
6812 OAK STREET, Vancouver, BC V6P 1H3|"Certified Professional Program - New Building - To construct 7 new 3 stories multiple dwelling buildings containing a total of 36 row home units, all over one level of underground parking having vehicular access from the rear lane.

VBBL 2019 - Reviewed during 2020/2021 Pandemic.

Building 1 is under BP-2021-00608
Building 2 is under BP-2021-00609
Building 3 is under BP-2021-00610
Building 4 is under BP-2021-00611
Building 5 is under BP-2021-00612
Building 6 is under BP-2021-00613
Building 7 is under BP-2021-00614


STAGE 1 - Excavation and Shoring issued on Mar. 8th, 2021. 
STAGE 1 - Rev #1 - Apr. 19, 2021 - To change the Applicant Role from Property Owner to Certified Professional.
STAGE 2 - Full Structure only issued on May 26, 2021.
STAGE 3 - Full Construction issued on Aug 13, 2021."|BP-2020-02788
2425 ST. CATHERINES STREET, Vancouver, BC V5T 3Y1|"Certified Professional Program - New Building - To develop this site with a 7 storey multiple dwelling building, affordable residential rental building (SHORT), providing 51 units, over one level of underground parking, having vehicular access from the lane. 

Stage #1 - excavation and shoring only - issued Dec. 14, 2018
Stage #2 - full construction - issued Jan. 15, 2019

Revision #1 - minor layout changes to accommodate construction requirements- issued 2020-11-09 - COVID 2019
Revision #2 - Change of mechanical and plumbing engineer of record to J.S. Tessier, P.Eng. ***effective May 24, 2019*** - K.Anderson 20 May 2021"|BP-2018-00387
979 E 19TH AVENUE, Vancouver, BC V5V 1K7|"High Density Housing / Commercial - New Building - To construct a new 4-storey mixed-use building with one level of Retail (1st floor) and 3 levels of Residential (2nd, 3rd & 4th floors) containing 16 dwelling units all over one (1) level of underground parking consists of 15 spaces, having vehicular access from the E 19th Ave. 

979 W 19th Av - 1st (Lobby), 2nd - 4th levels*
*Primary building address for fire and emergency response
978, 988, and 990 Kingsway - 1st level shell units

Related DP-2017-00913

Notes:
- Site investigation indicated that there was no peat present and is subject of final verification on site during construction.
- 2hr Commercial Kitchen Exhaust Shaft provided."|BP-2018-04135
239 KEEFER STREET, Vancouver, BC V6A 1X6|"Certified Professional Program - New Building - 
To construct an eight-storey mixed use building containing retail uses on the first storey, general office uses on the second and third storeys, and 25 market dwelling units on the fourth through eight storeys with two levels of underground parking, providing 18 parking spaces having vehicular access from the lane.

 Staged Construction

Stage I (excavation/shoring) issued December 23, 2019.
Stage II (foundation to grade) issued July 14, 2020.

Stage III (full construction) issued November 16, 2020."|BP-2018-04015
2073 E 1ST AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To  construct  Building 1 (South) (4-storey residential building), containing 7 townhomes. 

Building 1 is part of a larger development consisting of  3 multi-family  4-storey residential buildings on top of an underground parkade. 

Block 1 - 7 units (2073 E 1st Av) - BP-2021-00911
Block 2 - 9 units (2075 E 1st Av) - BP-2021-00912
Block 3 - 8 units & one retail unit (2085 E 1st Av) -
BP-2021-00913

Related to BP-2020-01550 (Site permit) 

Stage I - Excavation & Shoring - Issued March 22, 2022. 
Stage 2 (Str to grade & underground plumbing works) issued 14-Sep-2022"|BP-2021-00911
30 E 12TH AVENUE, Vancouver, BC V5T 2G5|"Certified Professional Program - New Building - To relocate and convert the existing 3-storey 4 unit MCD into 2 dwelling units, and to construct a new 3-storey infill residential building with attached garage. STAGED CONSTRUCTION

This is a CP Process Permit and the applicant is Cecilia Cheung, P. Eng., CP (Camphora Engineering). *** NOTE: Susana Chui took over as CP on June 15, 2018 ***

Subpermit - New Infill with attached garage - BP-2018-02295

Stage #1 - excavation - issued 2018 May 04
Stage 2: Foundation & Full Structural to roof. Oct. 25/18 (B. Smith)
Stage 3: Full Construction. Feb. 10/20 (B. Smith)"|BP-2017-05818
24 E 12TH AVENUE, Vancouver, BC V5T 2G5|"Certified Professional Program - New Building - To relocate and convert the existing 3-storey 4 unit MCD into 2 dwelling units, and to construct a new 3-storey infill residential building with attached garage at the rear of this site. STAGED CONSTRUCTION

This is a  CP Process Permit and the applicant is Cecilia Cheung, P. Eng., CP (Camphora Engineering). *** NOTE: Susana Chui took over as CP on June 15, 2018 ***

Subpermit - New Infill with attached garage - BP-2018-02297

Stage #1 - excavation - issued 2018-May 04 
Stage 2: Foundation & Full Structural to roof. Oct. 23/18 
Stage 3: Full Construction. Jan. 31, 2020"|BP-2017-05819
1176 E 13TH AVENUE, Vancouver, BC V5T 2M1|"High Density Housing / Commercial - New Building - To construct a three-storey residential building containing 3 dwelling units with a detached 3-car garage at the rear having vehicular access from the lane. 

Notes:
- Building to be sprinklered to NFPA 13D. 
- Schedule B - Structural & Geotechnical submitted.

Revision#1 - Oct. 21, J. Chen
- Reduce roof overhang by 7"" on the north and south elevations to not projecting into 1.2 m from property line, hence non-combustible overhang is not required anymore.
- Change exterior wall assembly details from EW13 and EW18 to EW18-A. Hardi siding around all elevations."|BP-2019-01503
