neighborhood,category,area_km2,density_per_km2,population
Arbutus-Ridge,3,3.7,4134,15295.8
Downtown,1,3.7,16764,62026.8
Dunbar-Southlands,4,8.56,2503,21425.68
Fairview,1,3.27,10281,33618.87
Grandview-Woodland,2,4.45,6556,29174.2
Hastings-Sunrise,4,8,4321.875,34575
Kensington-Cedar Cottage,4,7.24,6800,49232
Kerrisdale,3,5.9,2368.644068,13975
Killarney,4,6.64,4416,29322.24
Kitsilano,2,5.64,7884,44465.76
Marpole,2,5.59,4376,24461.84
Mount Pleasant,2,3.7,8906.756757,32955
Oakridge,2,4.01,3249,13028.49
Renfrew-Collingwood,4,8.05,6401,51528.05
Riley Park,2,4.9,4603.061224,22555
Shaughnessy,3,4.5,1873.333333,8430
South Cambie,2,2.2,3622.727273,7970
Strathcona,1,3.88,3244,12586.72
Sunset,4,6.26,5831,36502.06
Victoria-Fraserview,4,5.31,5850,31063.5
West End,1,1.98,23838,47199.24
West Point Grey,3,4.45,2936,13065.2
