Address,PermitNumber,Units
"7627 YUKON STREET, Vancouver, BC V5X 2Y4",BP-2019-00103,8
"7597 YUKON STREET, Vancouver, BC V5X 2Y4",BP-2019-00104,8
"6812 OAK STREET, Vancouver, BC V6P 1H3",BP-2020-02788,36
"2425 ST. CATHERINES STREET, Vancouver, BC V5T 3Y1",BP-2018-00387,51
"979 E 19TH AVENUE, Vancouver, BC V5V 1K7",BP-2018-04135,16
"239 KEEFER STREET, Vancouver, BC V6A 1X6",BP-2018-04015,25
"2073 E 1ST AVENUE, Vancouver, BC",BP-2021-00911,24
"30 E 12TH AVENUE, Vancouver, BC V5T 2G5",BP-2017-05818,2
"24 E 12TH AVENUE, Vancouver, BC V5T 2G5",BP-2017-05819,2
"1176 E 13TH AVENUE, Vancouver, BC V5T 2M1",BP-2019-01503,3
"3538 SAWMILL CRESCENT, Vancouver, BC V1V 1V1",BP-2017-03067,326
"3498 MARINE WAY, Vancouver, BC V1V 1V1",BP-2018-00877,70
"8675 OOLICHAN WAY, Vancouver, BC V1V 1V1",BP-2019-01894,7
"8693 OOLICHAN WAY, Vancouver, BC V1V 1V1",BP-2019-05474,3
"3438 SAWMILL CRESCENT, Vancouver, BC V1V 1V1",BP-2018-04137,243
"8690 JACK UPPAL STREET, Vancouver, BC V1V 1V1",BP-2018-04844,119
"3979 FLEMING STREET, Vancouver, BC",BP-2021-01241,6
"3910 DUMFRIES STREET, Vancouver, BC V5B 2R8",BP-2021-01239,12
"3969 FLEMING STREET, Vancouver, BC",BP-2021-01240,5
"3304 CLIVE AVENUE, Vancouver, BC V5R 4V5",BP-2018-05492,3
"162 MAIN STREET, Vancouver, BC",BP-2020-01978,69
"1451 E 12TH AVENUE, Vancouver, BC V5N 2A1",BP-2021-00849,85
"435 BOUNDARY ROAD, Vancouver, BC V5K 0H6",BP-2020-03028,118
"535 W KING EDWARD AVENUE, Vancouver, BC V5Z 2C4",BP-2017-00386,66
"1250 W HASTINGS STREET, Vancouver, BC V6E 2M4",BP-2017-00485,20
"4288 YEW STREET, Vancouver, BC",BP-2017-01297,70
"1150 COMOX STREET, Vancouver, BC V6E 1K5",BP-2016-03525,6
"2511 SPRUCE STREET, Vancouver, BC V6H 2P8",BP-2018-04454,38
"583 W 41ST AVENUE, Vancouver, BC V5Z 2M7",BP-2016-03470,46
"7709 GRANVILLE STREET, Vancouver, BC V6P 4Y9",BP-2020-02194,7
"4882 SLOCAN STREET, Vancouver, BC V5R 2A3",BP-2017-04343,37
"1807 LARCH STREET, Vancouver, BC V6K 3N9",BP-2020-03636,68
"210 E 5TH AVENUE, Vancouver, BC V5T 1G7",BP-2017-06419,58
"477 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1",BP-2018-04622,3
"918 W 32ND AVENUE, Vancouver, BC",BP-2021-05126,19
"95 SW MARINE DRIVE, Vancouver, BC V5X 2P9",BP-2018-05547,48
"3493 COMMERCIAL STREET, Vancouver, BC V5N 4E8",BP-2020-01706,18
"2715 KITSILANO DIVERSION, Vancouver, BC V6K 4S4",BP-2020-02428,14
"2777 STEPHENS STREET, Vancouver, BC",BP-2020-02716,4
"2628 DUKE STREET, Vancouver, BC V5R 4S9",BP-2021-04012,29
"3780 CLARK DRIVE, Vancouver, BC V5V 3E2",BP-2021-04654,54
"3737 RUPERT STREET, Vancouver, BC V5M 3W2",BP-2019-03811,51
"6818 ASH STREET, Vancouver, BC V6P 3K4",BP-2020-01972,51
"3241 CLIVE AVENUE, Vancouver, BC V5R 4V3",BP-2022-00560,30
"3247 CLIVE AVENUE, Vancouver, BC",BP-2022-00561,3
"2632 WARD STREET, Vancouver, BC V5R 4S6",BP-2021-01667,3
"3137 W BROADWAY, Vancouver, BC V6K 2H2",BP-2018-06626,40
"7302 GRANVILLE STREET, Vancouver, BC V6P 1S9",BP-2017-00706,6
"4932 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2018-01379,46
"4908 CAMBIE STREET, Vancouver, BC V5Z 2Z5",BP-2018-01380,27
"4916 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2018-01381,5
"3321 E 5TH AVENUE, Vancouver, BC",BP-2022-01294,64
"2892 E 10TH AVENUE, Vancouver, BC V5M 2B3",BP-2020-02039,81
"1551 GRANT STREET, Vancouver, BC V5L 2Y3",BP-2020-03812,35
"8636 OAK STREET, Vancouver, BC V6P 4B3",BP-2021-01864,90
"1680 ADANAC STREET, Vancouver, BC",BP-2020-02219,38
"933 E HASTINGS STREET, Vancouver, BC V6A 0G3",BP-2018-03187,80
"3435 SAWMILL CRESCENT, Vancouver, BC",BP-2020-03832,42
"616 E CORDOVA STREET, Vancouver, BC V6A 1L9",BP-2018-05868,63
"433 SW MARINE DRIVE, Vancouver, BC V5X 2R9",BP-2017-00890,132
"1753 W 11TH AVENUE, Vancouver, BC V6J 2C1",BU468700,3
"4082 MACDONALD STREET, Vancouver, BC V1V 1V1",BP-2018-03974,6
"2789 ALAMEIN AVENUE, Vancouver, BC V1V 1V1",BP-2018-03975,2
"1165 VICTORIA DRIVE, Vancouver, BC",BP-2017-04389,4
"2328 GALT STREET, Vancouver, BC V5N 2Z9",BP-2016-00011,28
"6733 CAMBIE STREET, Vancouver, BC V6P 3H1",BP-2017-04628,56
"1155 VICTORIA DRIVE, Vancouver, BC V5L 4G4",BP-2016-01195,4
"5058 CAMBIE STREET, Vancouver, BC V5Z 2Z5",BP-2017-05584,51
"6137 CAMBIE STREET, Vancouver, BC V5Z 3B2",BP-2019-02582,20
